v,zct
-8.76882076,0.00662276
11.58036041,0.01612024
-6.41617727,0.02561744
35.66575623,0.03511445
-47.09281158,0.04461118
26.06483459,0.05410779
-7.62370634,0.0636043
-27.51082039,0.0731009
27.03883362,0.08259767
-11.31970501,0.09209482
17.08542633,0.10159239
-32.96683121,0.11109056
59.30622101,0.12058926
-19.47808075,0.13008861
34.3711853,0.13958852
26.7835083,0.14908899
16.7738266,0.15858985
-11.03489399,0.16809113
36.79494476,0.17759265
-0.13258795,0.18709441
-16.46634483,0.19659624
9.39114094,0.20609815
0.5783264,0.21560001
-33.16783905,0.22510181
12.80145168,0.23460333
14.04022121,0.24410461
-36.71606827,0.2536054
43.01281357,0.26310566
4.52695084,0.27260521
21.95676804,0.28210405
-8.69054985,0.29160205
54.41200638,0.30109942
-15.80563164,0.31059611
25.59588623,0.32009244
41.10752869,0.32958859
-3.19891214,0.33908492
3.74896669,0.3485817
20.22772598,0.3580792
8.05325031,0.36757761
-28.79095078,0.37707713
26.39229012,0.38657767
-20.51503372,0.39607921
-26.34154892,0.40558144
-8.23894119,0.41508415
16.96504974,0.42458692
-52.79807663,0.43408945
42.54454041,0.44359133
-8.30203056,0.45309231
23.31145859,0.46259224
6.74187803,0.47209114
59.89109421,0.48158896
-15.01590633,0.49108598
38.55549622,0.50058234
31.44487,0.51007843
19.77038193,0.51957446
0.77744448,0.52907079
44.27978897,0.5385676
-0.58709812,0.54806507
-3.10249066,0.55756319
40.21234131,0.56706202
-39.28969193,0.57656151
14.47799778,0.58606166
-43.16665649,0.59556228
30.24577522,0.6050632
-65.31984711,0.61456448
39.02390671,0.62406594
-41.10125351,0.63356751
30.9469738,0.64306915
-31.22146034,0.65257078
56.62706757,0.66207236
-36.17768478,0.67157364
30.34894371,0.68107462
-4.07136106,0.69057512
45.23637772,0.70007509
-14.18313217,0.70957428
59.79446793,0.71907288
10.10805988,0.7285707
0.97575289,0.73806798
29.48439026,0.74756473
-3.79633379,0.75706142
-25.02133751,0.76655823
-0.97406602,0.7760554
11.14420319,0.78555328
-31.32328033,0.79505211
47.94569397,0.80455202
-25.39312363,0.81405306
18.34875679,0.82355511
-44.08802414,0.833058
58.77890396,0.84256142
-56.76545715,0.85206503
71.51868439,0.86156839
-12.23581028,0.87107128
51.12017822,0.88057321
-14.47435379,0.89007413
53.67740631,0.89957386
-33.17755508,0.90907252
15.40429115,0.91857004
-23.65902138,0.92806691
17.64040565,0.9375633
-31.20115089,0.94705969
23.25187874,0.95655614
2.11162353,0.96605325
2.2368567,0.97555107
36.06520462,0.98504984
20.61084747,0.99454945
24.77640343,1.00405002
-7.65326023,1.01355135
57.33258438,1.02305329
-34.63824844,1.0325557
35.40894699,1.04205811
-21.35455513,1.0515604
14.11734486,1.06106269
-57.15532684,1.07056427
52.03743362,1.08006525
-60.0331955,1.08956575
38.6856575,1.09906554
-25.41350174,1.10856485
51.67617416,1.11806357
-48.87441635,1.12756169
73.26459503,1.13705969
-27.20245934,1.14655721
22.96544838,1.15605474
13.52397156,1.16555226
29.73465347,1.1750499
-3.44006705,1.1845479
22.63407898,1.19404602
5.74628782,1.20354438
0.6953277,1.21304333
-3.59822798,1.22254241
29.42865562,1.23204184
-18.08756065,1.24154162
-0.41173115,1.25104141
32.44363022,1.26054132
-27.55919838,1.27004135
28.84398651,1.27954113
-8.16660786,1.2890408
30.88219833,1.29854012
-15.0949192,1.30803907
61.02291489,1.3175379
0.44357926,1.32703638
43.69113922,1.33653462
-12.04951191,1.34603274
54.22806931,1.35553074
-46.89848328,1.36502874
37.20013046,1.3745265
-22.99054909,1.38402426
12.2098999,1.39352214
-35.79213715,1.40301979
46.08892441,1.41251719
-58.03526688,1.42201471
-2.07970786,1.43151176
-19.34745026,1.44100869
-8.22436714,1.45050561
-10.88685417,1.4600023
49.12130737,1.46949923
19.42173958,1.47899604
5.02768135,1.4884932
80.04176331,1.49799097
-5.57571125,1.50748909
37.88985825,1.51698768
2.70027351,1.52648687
35.56285477,1.53598642
-30.56371689,1.54548621
47.96796036,1.55498624
-6.06240702,1.56448591
1.10969031,1.57398534
-1.87384224,1.58348405
1.78065956,1.59298193
-40.72029114,1.6024791
4.37108421,1.61197543
-35.29916382,1.62147081
16.6039257,1.63096583
-44.42749023,1.64046025
52.34869385,1.6499548
-20.89950562,1.65944922
1.2438302,1.668944
33.57977295,1.6784395
-23.23561668,1.68793559
49.20625687,1.69743228
-11.93736935,1.7069298
61.35468674,1.7164278
-30.84016037,1.72592628
42.74858475,1.73542523
10.16190529,1.74492407
-22.03685951,1.7544229
5.43441916,1.7639215
-17.70309067,1.77341974
-12.59335899,1.78291774
-17.91833496,1.79241514
15.417449,1.80191207
-10.60130119,1.81140852
-8.15216827,1.82090449
47.22189331,1.83039999
-13.37080383,1.83989513
34.94856644,1.84938979
21.97498512,1.85888422
13.39016914,1.86837828
23.17637444,1.87787211
1.15894687,1.88736606
54.84026718,1.89685988
-44.94967651,1.90635395
52.02468109,1.91584849
-14.94627285,1.92534328
22.36978149,1.93483877
-10.01487732,1.94433463
29.64767838,1.95383108
-19.40332031,1.963328
6.85010767,1.97282529
17.93608093,1.98232269
-3.11902189,1.99182034
9.30477333,2.0013175
2.06263685,2.01081491
14.77117538,2.02031159
-18.76359177,2.02980757
17.09183502,2.03930306
3.45416927,2.04879808
-19.94035149,2.05829263
10.4016428,2.06778646
29.66724586,2.07727957
-41.24720001,2.08677268
53.05407333,2.09626532
-43.55632401,2.10575843
45.08908081,2.11525106
-46.6264267,2.12474418
63.00917053,2.13423753
-36.6720047,2.14373159
23.39377785,2.15322614
45.30830765,2.16272163
10.14840984,2.17221737
44.53491211,2.18171406
16.8530426,2.19121099
30.96903801,2.20070863
-26.45828056,2.21020651
45.89432526,2.21970415
-11.3906889,2.22920156
-4.33741426,2.23869824
13.85432816,2.24819422
-3.97149849,2.25768948
-33.73968887,2.26718354
25.88636398,2.27667665
-37.83959198,2.28616929
19.33321381,2.29566145
-32.09512329,2.30515337
69.00417328,2.31464601
-40.97953033,2.32413888
56.26567078,2.33363247
20.74363899,2.34312725
-1.52654958,2.35262299
36.59346771,2.36211991
5.50277138,2.37161756
5.50553751,2.38111544
-39.62065506,2.39061356
29.22866058,2.40011144
-40.90024567,2.40960884
-4.2619772,2.41910553
-3.21200228,2.4286015
-23.23251343,2.43809652
-37.63871765,2.44759107
5.78393888,2.45708513
-25.77658272,2.46657968
-3.56563759,2.47607398
12.62055111,2.48556876
59.80094528,2.49506402
-8.34642887,2.50456023
94.56550598,2.51405668
9.08939362,2.52355409
43.23345566,2.53305101
1.29963183,2.54254794
60.58007813,2.55204439
-30.63969231,2.56154013
23.21429443,2.57103515
10.82066154,2.58052897
-25.76754189,2.59002233
1.62681711,2.5995152
-12.67608356,2.60900784
-4.04133463,2.61850095
-64.5098114,2.62799454
59.13442993,2.63748908
-59.47106171,2.64698434
52.07143784,2.65648103
2.9757731,2.66597843
48.02308655,2.67547703
-1.72533023,2.68497562
64.93415833,2.69447422
13.11264515,2.70397258
10.94319534,2.71347022
5.88670254,2.72296715
24.14436722,2.73246288
-30.79097176,2.74195766
16.32485008,2.75145173
0.19871324,2.76094508
-18.94246674,2.77043796
-1.5761435,2.77993131
3.42421055,2.78942442
-17.71300888,2.79891825
-45.72158813,2.80841255
29.86083221,2.81790733
-58.05132675,2.82740331
55.64227295,2.83689928
-20.44843674,2.84639549
58.2297287,2.8558917
-22.06027412,2.86538792
41.79314041,2.87488389
4.44125795,2.88437986
12.76089859,2.89387536
17.87872696,2.90337062
24.21751022,2.91286588
11.36241627,2.92236114
10.07493019,2.93185687
17.31794357,2.94135261
-16.2863884,2.95084858
-20.14635086,2.96034527
5.98845482,2.96984196
-28.28448486,2.97933888
1.08742368,2.98883605
18.29693604,2.99833298
0.47313321,3.00782943
40.8889122,3.01732588
11.91233635,3.02682161
49.98775101,3.03631735
-27.73449898,3.04581261
31.65458107,3.05530787
-18.8169632,3.06480336
-12.11961842,3.0742991
8.70809364,3.08379507
-13.53422737,3.09329224
-8.6607933,3.10278964
-11.97414303,3.11228752
18.27109337,3.12178588
-47.10691452,3.13128471
35.64706421,3.14078403
-14.19919205,3.15028262
20.41233826,3.15978122
33.60062027,3.1692791
28.08698654,3.17877626
36.2698555,3.18827295
16.61957932,3.19776893
44.86196136,3.20726395
17.21376228,3.21675849
8.65499115,3.22625279
28.48684311,3.2357471
-32.56279373,3.24524164
18.25887871,3.25473619
-20.05910683,3.2642312
7.14699697,3.27372694
-36.60082245,3.28322339
1.92343628,3.29272103
-12.12636662,3.30221891
-25.30486679,3.31171751
26.92675781,3.32121658
-19.50878334,3.33071589
24.64759445,3.34021544
3.52528763,3.34971499
54.07355118,3.35921407
4.91412115,3.36871266
62.66869354,3.37821078
10.73287678,3.38770795
40.9143486,3.39720488
8.071064,3.40670109
21.4478054,3.41619658
-13.64765263,3.4256916
4.99407864,3.43518639
-15.45213127,3.44468117
0.28359652,3.45417643
-28.90329742,3.46367192
-10.05509281,3.47316766
-26.01463318,3.48266411
-20.71570396,3.49216127
9.22454548,3.50165915
1.06205308,3.51115751
36.94548035,3.52065611
-6.44519138,3.53015518
72.12076569,3.53965449
-9.85921288,3.5491538
52.73437881,3.55865335
0.190009,3.56815267
29.86245155,3.5776515
-19.73914146,3.58715034
42.17774582,3.59664869
