v,zct
21.83538055,0.00322019
2.87111974,0.0127282
-36.51478958,0.02223719
17.663414,0.03174703
-51.84607315,0.0412575
36.28881836,0.05076832
-27.4834919,0.06027922
33.16122437,0.06978989
-7.68382645,0.07930012
-3.67548656,0.08880975
23.29128456,0.09831871
-9.0063324,0.107827
36.59474945,0.11733472
-39.63097763,0.12684202
48.19177246,0.1363491
-48.96361923,0.14585613
-7.64860439,0.15536329
-1.80650246,0.16487074
-38.7967186,0.17437856
37.93270493,0.1838868
-7.63618898,0.1933955
47.82025909,0.20290463
5.92900944,0.21241418
31.84965134,0.22192411
39.00595856,0.23143442
-2.0150671,0.2409451
57.72663498,0.25045618
1.09565556,0.25996763
43.64957428,0.26947942
21.41879082,0.27899149
-7.54138708,0.28850374
15.73977566,0.29801604
-18.85677338,0.3075282
-2.28564095,0.31704003
-23.12920952,0.32655138
-0.21133102,0.3360621
-31.85545349,0.34557211
-29.98323059,0.35508141
-5.24980831,0.36459008
-22.61775017,0.37409836
15.93396854,0.38360646
28.22578239,0.39311472
5.43603849,0.40262344
38.48249054,0.41213289
-3.14074898,0.42164335
82.87901306,0.43115488
-40.79842758,0.4406676
67.08154297,0.45018139
-26.76340103,0.45969611
9.27110291,0.46921146
-11.84985447,0.47872722
3.72427082,0.48824307
1.0051719,0.49775872
-29.03676224,0.50727397
30.71371269,0.51678866
-19.74858856,0.52630275
23.24175835,0.53581613
37.18164444,0.54532903
-15.32703304,0.55484134
53.22721481,0.56435341
5.76808214,0.57386518
13.98205757,0.58337694
5.91092634,0.59288871
-33.36230087,0.60240078
19.68340683,0.61191308
-36.56795883,0.62142581
46.66016388,0.63093913
-42.78684235,0.64045298
13.4518404,0.64996767
45.42058563,0.65948308
-88.30492401,0.66899931
119.7168045,0.67851633
-128.80728149,0.68803418
138.91635132,0.69755256
-82.99256897,0.70707142
101.11231995,0.7165904
-20.08002472,0.72610933
42.24144363,0.73562801
10.149827,0.74514604
-14.37664986,0.75466341
10.55528355,0.76417989
-39.71653748,0.77369565
12.66083431,0.78321058
-23.69815636,0.79272503
-3.82109714,0.80223912
33.85459518,0.81175333
-27.30758667,0.82126784
38.16765213,0.83078289
-34.09109497,0.84029889
25.55708694,0.84981579
19.28827477,0.85933375
2.86389971,0.86885267
46.39006424,0.87837243
-38.37244034,0.88789272
67.75696564,0.89741337
-59.56464767,0.90693396
11.32989407,0.91645437
4.86506701,0.92597419
-38.19046021,0.93549329
35.42905426,0.94501156
-22.13719559,0.95452881
6.96177864,0.96404523
-6.60753584,0.97356075
15.30915165,0.98307556
22.16452217,0.99258983
-16.39374161,1.00210381
45.3195076,1.01161778
-23.4922924,1.02113175
43.21928787,1.03064609
-31.67597008,1.04016113
42.29009247,1.04967678
-3.23905969,1.05919325
-0.19108859,1.06871033
15.42149734,1.07822835
-3.88459086,1.08774698
-22.88285828,1.09726596
48.4123497,1.10678494
-56.18463516,1.1163038
44.91965103,1.12582219
-52.80894089,1.13533974
13.28126431,1.14485633
-25.79149437,1.15437186
-10.15482044,1.16388607
19.70398712,1.17339885
16.98509026,1.18291068
23.24297142,1.19242156
66.14951324,1.20193172
-14.83068848,1.21144152
89.84719849,1.22095132
-28.03719139,1.23046148
43.0908165,1.23997188
21.24699974,1.24948311
-11.31882763,1.25899506
39.98704147,1.26850772
-71.63642883,1.27802086
83.51515961,1.28753459
-89.45989227,1.29704845
35.31643677,1.3065623
-4.69077969,1.3160758
-45.40736008,1.32558882
45.33327103,1.33510113
-77.20566559,1.34461248
63.33777237,1.354123
-83.09290314,1.36363256
81.55643463,1.37314117
-13.47235298,1.38264883
23.05195045,1.39215589
61.94029999,1.40166247
-35.03371811,1.41116869
57.88837433,1.4206748
-38.2808075,1.43018115
49.47156906,1.43968773
9.16692162,1.44919479
12.66535473,1.45870245
55.1179924,1.46821082
-31.3058033,1.47771978
74.5570755,1.48722923
-80.16233826,1.49673903
96.23928833,1.50624895
-97.91137695,1.51575863
54.8624649,1.52526784
-34.18130875,1.53477633
-4.09558439,1.54428387
-7.81958532,1.55378997
-26.95064354,1.56329501
0.73986101,1.57279873
3.31523871,1.58230114
-30.62154198,1.59180236
52.27238083,1.60130286
-44.03829575,1.61080277
79.32328796,1.62030232
-36.58098221,1.62980175
36.0450325,1.63930154
0.79370588,1.6488018
-29.25760651,1.65830255
37.47961044,1.66780412
-47.87895966,1.67730629
49.23095322,1.68680906
-32.78869629,1.69631207
53.49300003,1.70581543
-33.05542374,1.7153188
15.28027248,1.72482193
-15.40995884,1.73432446
12.63647556,1.74382639
-13.970047,1.75332761
11.74182701,1.76282763
45.98001862,1.77232659
-38.59031296,1.78182435
81.36582184,1.79132092
-27.82471275,1.8008163
39.05717087,1.8103106
-2.18119001,1.81980395
13.85041428,1.82929671
10.14685822,1.83878875
-0.56058055,1.84828091
22.94857979,1.85777318
-39.68522644,1.8672657
32.22278595,1.87675905
-6.13534737,1.88625324
2.90384483,1.89574838
2.63441801,1.90524435
41.29544449,1.91474128
-51.13954544,1.9242388
48.25607681,1.93373644
-30.13369942,1.94323421
-14.20155334,1.95273161
14.94640732,1.96222818
-9.36867142,1.97172368
12.81454182,1.98121798
18.14073181,1.99071085
35.12548447,2.00020242
3.25984192,2.00969267
3.59552884,2.01918173
21.4955101,2.02867031
41.49443054,2.03815866
-40.04176331,2.04764676
92.5754776,2.05713534
-62.77719116,2.06662464
55.45212936,2.07611442
-71.41207123,2.08560562
46.82129288,2.09509754
-41.51177216,2.10459042
-1.09046006,2.11408448
56.50136185,2.12357903
-59.22045898,2.13307405
116.42956543,2.14256978
-71.54803467,2.15206528
87.13322449,2.16156077
-76.47551727,2.17105603
54.41031647,2.18055058
-32.15463638,2.19004464
23.55713463,2.19953775
-10.17776203,2.20902991
25.27025223,2.21852136
-15.82486153,2.22801161
40.4921608,2.23750114
-43.05404282,2.2469902
-9.40827942,2.25647855
-15.40516853,2.26596642
-16.95998955,2.27545476
12.47446823,2.2849431
-11.41268539,2.29443216
53.57659912,2.30392194
-55.09160995,2.31341267
93.41040802,2.32290483
-84.67774963,2.33239794
85.62773132,2.34189224
-71.40539551,2.35138774
66.39916992,2.36088371
-61.19477463,2.37037992
54.88527298,2.37987685
-19.9502697,2.38937283
-9.73094368,2.3988688
16.13585281,2.40836334
-35.83511734,2.41785717
47.0403862,2.42734981
-41.70636749,2.43684101
58.62985229,2.44633126
-46.79079437,2.4558208
83.96366882,2.46530938
-45.31775284,2.47479796
66.84119415,2.48428655
-40.13805008,2.49377561
94.19776917,2.50326538
-45.11532974,2.51275587
83.2219162,2.52224779
-14.88615227,2.5317409
29.41286659,2.54123497
-3.95024395,2.55073023
-4.79658031,2.56022668
4.38889742,2.56972337
-16.42720985,2.57922053
22.69285011,2.58871794
-15.72250271,2.59821486
28.39278221,2.60771132
-16.53739548,2.61720657
58.40516281,2.62670064
-68.67853546,2.63619375
65.91321564,2.64568567
-69.04985046,2.65517616
69.82756805,2.66466641
-83.97878265,2.67415571
85.44932556,2.68364477
-91.72886658,2.69313431
77.21794128,2.70262408
-74.60268402,2.71211505
51.26848984,2.72160697
-41.0524025,2.73110008
12.72054958,2.74059463
43.93040466,2.75009036
-15.30982685,2.75958705
87.11096191,2.76908493
-27.19227219,2.77858281
41.44294739,2.78808117
1.77532911,2.79757929
-5.62321377,2.80707693
2.8294878,2.8165741
9.61468506,2.82607031
-3.68317866,2.83556581
7.78382397,2.84506106
8.40303993,2.85455513
39.02653885,2.8640492
-57.67022705,2.87354326
83.98154449,2.88303709
-55.41137314,2.89253139
31.01046753,2.90202618
-17.63743591,2.91152143
-12.01591015,2.92101765
-22.1985302,2.93051434
-30.34050941,2.94001174
23.86205292,2.94950986
-18.18762589,2.95900822
39.52780914,2.96850729
18.81615448,2.9780066
37.38082886,2.98750615
-43.03858948,2.99700594
58.45563507,3.00650597
-45.54251099,3.01600599
47.31703186,3.02550626
-18.76271439,3.03500628
36.9573555,3.04450631
-39.82517242,3.05400658
30.80689621,3.06350636
-11.32260609,3.07300591
14.83048534,3.0825057
6.09128618,3.09200501
12.28864288,3.10150409
20.82447243,3.1110034
-25.66504669,3.12050223
61.44652176,3.13000131
-28.43785667,3.13950014
61.12507248,3.14899921
-24.03951263,3.15849876
6.82352257,3.16799855
-23.15997887,3.17749906
10.76405048,3.18700004
-17.89620209,3.19650149
38.21960831,3.20600367
7.92207956,3.21550655
36.61870193,3.22500968
13.86046791,3.23451328
-8.18604088,3.24401665
66.66360474,3.25352001
-50.17074203,3.26302361
83.13021851,3.2725265
-36.41513062,3.28202891
52.67223358,3.29153109
-45.02147293,3.30103254
51.78224182,3.31053376
-78.04572296,3.32003474
30.33389664,3.32953548
-6.44087315,3.3390367
7.88915205,3.34853792
-18.70832825,3.35803938
17.38366318,3.36754179
-28.08017159,3.37704444
-7.62330151,3.3865478
-23.29229546,3.39605165
2.60135531,3.40555549
-14.46976566,3.41505957
55.49119568,3.42456341
3.47879744,3.43406677
31.85133743,3.44356966
40.56705475,3.45307159
