file_id,mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,energy,spectral_mean,spectral_std,spectral_peak,peak_frequency,spectral_energy,spectral_entropy,fault_band_1_power,fault_band_2_power,fault_band_3_power,fault_band_4_power,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_range,rpm_trend
01,-2.485952184846004e-17,0.9999999999999999,0.9999999999999999,4.287775322230583,8.516358935561758,4.287775322230584,0.025261009448908935,-0.21972724734117666,187499.99999999997,171.05241555916686,397.7977508028627,23070.182780013816,45036.5,17578123067.937065,11.073480086900886,216447.47699069142,15598634.248484273,20058884.387104467,38918888.01728081,591751070.4199646,366104.36899789155,590655979.9061457,592549987.5169547,1894007.6108089685,1534.4756102957053
02,-1.0269711007519315e-17,0.9999999999999999,0.9999999999999999,4.234873639497085,8.270775821319946,4.234873639497086,-0.03228493498284481,-0.11764226575115755,187499.99999999997,180.37474361416506,393.65841961812447,33395.35578864997,5191.0,17578124948.323822,10.88262992946189,265067.1511911582,20762683.121055134,19539061.388303008,78068939.62349668,592408935.884683,356144.40900251566,591836133.4635191,593279957.4736769,1443824.0101578236,1105.5192374824578
03,-2.019836150187378e-17,1.0,1.0,4.659878004713746,8.96781618650801,4.659878004713746,-0.0066067080776091355,-0.038053402573667405,187500.0,219.34223901246116,373.3510158655072,23051.43644799356,4759.0,17578124891.389187,12.720645181364606,175753.5055535148,42956426.75118574,30200793.913920425,37251473.700866535,592029275.7070718,870154.1915478234,590709944.0899864,593645617.3122896,2935673.222303152,-3397.0350077778753
04,1.0800249583553523e-17,1.0,1.0,4.675703178189183,9.277466044603479,4.675703178189183,0.03739899478795271,-0.07604281626701459,187500.0,188.92348981299153,389.6274109377963,29983.53610472646,5131.0,17578087906.88408,11.501317299106496,229374.32724765554,14756292.029955503,19279216.55025065,26914930.374602772,591960292.0512358,261807.36119546968,591391236.0549898,592475092.3471372,1083856.292147398,969.6750593946708
05,-1.618142656904335e-17,0.9999999999999999,0.9999999999999999,4.857826897092276,9.03369989780506,4.857826897092277,-0.030587968411293916,-0.09181035447595054,187499.99999999997,201.49242177851238,383.278949782915,47056.32778604123,5159.0,17578120252.506634,11.323071363534584,366795.975855981,26224186.833014548,21656759.657929894,36542552.31188965,592555555.4117076,297499.4319159202,591598978.9790419,593104800.8275,1505821.8484580517,535.3684746650524
06,7.995974253086995e-18,1.0,1.0,4.124467839931727,8.038692458688754,4.124467839931727,-0.013644359062042095,-0.16928576536280682,187500.0,199.5667818239423,384.28492567426537,19653.561901575158,44967.5,17578106670.824303,11.568826539100652,290502.24250773585,30339145.75004019,26029185.794379085,90957719.22091728,591617793.3599913,268330.58376630035,590917208.5596119,592103393.3577126,1186184.79810071,-141.78007686907924
07,1.7602512040563547e-17,1.0,1.0,4.083125336553214,8.070917800953232,4.083125336553214,0.023822694914721543,-0.1518169807335954,187500.00000000003,190.0880146061326,389.0607410759926,41926.99997410954,5188.0,17578098142.989746,10.523289102488228,305145.31475661916,24325399.58321803,30916508.89526455,140034407.1348311,592337735.1261888,348494.6786517956,591458394.4507021,593175476.5967588,1717082.1460567713,878.9713820086442
08,1.0118128557223826e-17,1.0,1.0,4.120202291478697,8.188939040631915,4.120202291478697,0.0018799314861909938,-0.20344397730545705,187500.00000000003,190.7870849968495,388.71877670068415,12867.001913454875,44680.5,17578124919.370037,12.184886855931882,48201.52210788526,43222133.70090188,11729257.934311662,20429847.253893632,591886957.1389276,889064.1635629614,590326206.3906261,593742743.144231,3416536.753604889,4162.017645537881
09,-1.2425023972658285e-17,1.0,1.0,4.14002677169383,8.167556921812068,4.14002677169383,0.0006058864441357376,-0.08292996800078845,187500.00000000006,212.6383351188286,377.20940073064713,15491.856054824755,4801.0,17578124394.414047,12.883207648593732,95054.99961568085,22626307.942865156,16361659.079441566,21900694.168859743,591973182.7347866,797613.4015261614,590798665.2676591,593533492.171717,2734826.9040579796,4924.621332112272
10,-5.0249582272954286e-17,1.0,1.0,3.9089022589463287,7.786885584469406,3.9089022589463287,0.019887170485327507,-0.15694043583517958,187500.00000000003,174.8236201082696,396.15464184397985,18823.394759088183,29834.5,17578106098.41652,10.919493716611807,212533.5689695468,16663866.97555981,28710574.08718527,43153969.39600061,591724700.1179752,350708.6874388539,591039525.5712603,592638637.932057,1599112.36079669,454.659011130542
